Date,USD_NGN,GBP_NGN,EUR_NGN,Day,Month,Year,Weekday,Is_Weekend,USD_Diff,EUR_Diff,GBP_Diff,USD_MA7,EUR_MA7,GBP_MA7,USD_Rate_Category,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,target
2016-02-29,198.7737,216.3765,276.8321,29,February,2016,Monday,False,-1.04130000000001,-1.90989999999999,-0.151499999999999,199.123128571429,218.289057142857,277.124257142857,Low,199.815,199.0899,198.709,199.0289,199.16830000000002,0.3944581600132149,199.07757857142857,0.302473989163565,199.03532666666666,0.28473598410350914,199.3094
2016-03-01,199.3094,216.7608,278.2559,1,March,2016,Tuesday,False,0.53570000000002,0.384299999999996,1.42379999999997,199.141042857143,217.886914285714,277.012685714286,Low,198.7737,199.184,199.0961,199.6954,199.1231285714286,0.4220708539040576,199.08220000000003,0.2968513873194589,199.02682,0.2887188793793366,199.0244
2016-03-02,199.0244,216.3256,280.2065,2,March,2016,Wednesday,False,-0.284999999999997,-0.43519999999998,1.95060000000001,199.177871428571,217.516971428571,277.490471428571,Low,199.3094,198.7666,199.001,198.9815,199.14104285714285,0.42770864248709783,199.0974357142857,0.3030291369765989,199.01395333333332,0.26556932043015974,198.6312
2016-03-03,198.6312,217.425,281.5001,3,March,2016,Thursday,False,-0.393200000000007,1.0994,1.29359999999997,199.164471428571,217.284028571429,278.061971428571,Low,199.0244,198.725,198.9068,199.0386,199.17787142857145,0.40031483324415457,199.09910714285715,0.30252041371438887,199.01538333333335,0.2655040373521441,199.2242
2016-03-04,199.2242,219.2931,283.4363,4,March,2016,Friday,False,0.592999999999989,1.8681,1.93620000000004,199.188371428571,217.519828571429,279.125385714286,Low,198.6312,199.0569,198.9644,198.4397,199.16447142857143,0.4191284596818686,199.0794214285714,0.3241879183871818,199.00180333333336,0.2745406665221472,199.1106
2016-03-05,199.1106,219.168,283.2747,5,March,2016,Saturday,True,-0.113599999999991,-0.125100000000003,-0.161600000000021,199.126928571429,217.6622,280.069885714286,Low,199.2242,199.5407,199.0402,199.064,199.18837142857143,0.41673521055376783,199.09797857142857,0.32453294766559265,199.0279533333333,0.25588185546016745,199.218
2016-03-06,199.218,219.0196,283.1485,6,March,2016,Sunday,True,0.107399999999984,-0.148400000000009,-0.126199999999983,199.041642857143,217.766942857143,280.950585714286,Low,199.1106,199.815,199.1905,198.7255,199.12692857142858,0.38675914432021397,199.10300714285717,0.3241139601675041,199.0295066666667,0.25624940159112025,199.121
2016-03-07,199.121,219.2653,283.9266,7,March,2016,Monday,False,-0.09699999999998,0.245699999999999,0.778099999999995,199.091257142857,218.179628571429,281.964085714286,Low,199.218,198.7737,199.0899,199.0307,199.04164285714288,0.25213487037332605,199.10497142857142,0.32476766945082003,199.04592333333332,0.25183967215469033,199.0739
2016-03-08,199.0739,219.0091,282.7845,8,March,2016,Tuesday,False,-0.0471000000000004,-0.256200000000007,-1.14210000000003,199.057614285714,218.500814285714,282.611028571429,Low,199.121,199.3094,199.184,199.0702,199.09125714285713,0.2231236940760996,199.10719285714285,0.3247630129187701,199.04893333333337,0.25219083815692583,198.9177
2016-03-09,198.9177,218.531,282.5825,9,March,2016,Wednesday,False,-0.156200000000013,-0.478099999999983,-0.201999999999998,199.042371428571,218.815871428571,282.950457142857,Low,199.0739,199.0244,198.7666,198.8601,199.05761428571427,0.20145188365860112,199.09932857142854,0.32409239050316563,199.04905666666667,0.25220250167334346,198.9959
